ID,ECO_ACT_ECO_ACT,ENV_OB_ID,CRITER_CRITER,LVL1_VAR,LVL1_VAL,LVL2_VAR,LVL2_VAL,LVL3_VAR,LVL3_VAL,LVL4_VAR,LVL4_VAL,SUBST
175,EA_C_MA,POL,POL_CECC_14,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,CO
176,EA_C_MA,POL,POL_CECF_12,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,CO
177,EA_C_MA,POL,POL_CNCC_13,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,CO
178,EA_C_MA,POL,POL_CNCF_11,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,New,CO
179,EA_C_MA,POL,POL_HEC_26,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,HCI
180,EA_C_MA,POL,POL_HEC_30,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,HIF
181,EA_C_MA,POL,POL_HNC_25,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,HCI
182,EA_C_MA,POL,POL_HNC_29,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,HIF
183,EA_C_MA,POL,POL_NECC_8,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,NOX
184,EA_C_MA,POL,POL_NECF_6,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,NOX
185,EA_C_MA,POL,POL_NNCC_7,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,NOX
